llave,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo
CRAAANVSALMACENES EXITO SA                                USDNA,Acciones Colombia,USD,NA,NACIONAL,R VARIABLE,NV
DEPVESTATE STREET GLOBAL SERVICES                      EURNA,MONEY MARKET,EUR,NA,INTERNACIONAL,CAJA,No Reporta
CRAEAEAVIANCATACA HOLDING SA                            USDNA,Acciones Colombia,USD,NA,NACIONAL,R VARIABLE,NV
CCAFICA FIDOCCIDEN                                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVESTATE STREET GLOBAL SERVICES                      MXNNA,MONEY MARKET,MXN,NA,INTERNACIONAL,CAJA,No Reporta
CCESPIFICC INMPREMIUM                                   COPNA,Titularización Inmobiliaria,COP,NA,NACIONAL,R VARIABLE,No Reporta
CCAFICA ACCIVALORES                                  COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
CCCTPFICC INM OLDMUT                                   COPNA,Acciones Colombia - Carteras Colectivas,COP,NA,NACIONAL,R VARIABLE,No Reporta
DEPVESTATE STREET GLOBAL SERVICES                      USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
CCAFICA FID BBBVA                                    COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       EURNA,MONEY MARKET,EUR,NA,INTERNACIONAL,CAJA,No Reporta
CCAFICA LDEZFONDO                                    COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       MXNNA,MONEY MARKET,MXN,NA,INTERNACIONAL,CAJA,No Reporta
CCAFICA FONVAL                                       COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       GBPNA,MONEY MARKET,GBP,NA,INTERNACIONAL,CAJA,No Reporta
CCAFICA FIDCENTRAL                                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       BRLNA,MONEY MARKET,BRL,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       CADNA,MONEY MARKET,CAD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBNY MELLON ASSE                                   USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBROWNBROTHERSHA                                   USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
CCAFICA VALORPLUS                                    COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBNY MELLON ASSE                                   GBPNA,MONEY MARKET,GBP,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBNY MELLON ASSE                                   MXNNA,MONEY MARKET,MXN,NA,INTERNACIONAL,CAJA,No Reporta
