clas_sfc,nominal_col,etiqueta
PFMUIA,nro_acciones,No. Unidades
FINDI,nro_acciones,No. Unidades
PEEBE,valor_nominal,Valor nominal
FCPE,nro_acciones,No. Unidades
AEE,nro_acciones,No. Unidades
CRAEAE,nro_acciones,No. Unidades
PFIMM,nro_acciones,No. Unidades
TSEGE,valor_nominal,Valor nominal
FCP,nro_acciones,No. Unidades
ABENVS,nro_acciones,No. Unidades
CDT,valor_nominal,Valor nominal
BOEVS,valor_nominal_residual,Nominal residual
CCA,nro_acciones,No. Unidades
AMENVS,nro_acciones,No. Unidades
TCCENVS,valor_nominal_residual,Nominal residual
AAENVS,nro_acciones,No. Unidades
BOENVS,valor_nominal_residual,Nominal residual
TCCH,valor_nominal_residual,Nominal residual
AMEVS,nro_acciones,No. Unidades
ABEVS,nro_acciones,No. Unidades
TDPIT,valor_nominal,Valor nominal
AAEVS,nro_acciones,No. Unidades
TDEPT,valor_nominal,Valor nominal
TSUV,valor_nominal,Valor nominal
TDPE,valor_nominal,Valor nominal
TSTF,valor_nominal,Valor nominal
CCATP,nro_acciones,No. Unidades
CCESPI,nro_acciones,No. Unidades
BHIP,valor_nominal_residual,Nominal residual
PCCBCTP,nro_acciones,No. Unidades
FCPAPP,nro_acciones,No. Unidades
BOEGE,valor_nominal,Valor nominal
CDEBE,valor_nominal,Valor nominal
FINDIRF,nro_acciones,No. Unidades
PFMUITD,nro_acciones,No. Unidades
BOEBE,valor_nominal,Valor nominal
BOEEDB,valor_nominal,Valor nominal
CRAAANVS,nro_acciones,No. Unidades
TPENVS,nro_acciones,No. Unidades
TCCEVS,valor_nominal_residual,Nominal residual
CRAAAVS,nro_acciones,No. Unidades
BPEN,valor_nominal,Valor nominal
CCCTP,nro_acciones,No. Unidades
DEPVN,valor_nominal_residual,Nominal residual
DEPVE,valor_nominal_residual,Nominal residual
ORFEVS,valor_nominal,Valor nominal
BOEOM,valor_nominal,Valor nominal
TPEVS,nro_acciones,No. Unidades
CCACPTP,nro_acciones,No. Unidades
CCE,nro_acciones,No. Unidades
CCC,nro_acciones,No. Unidades
ORFENVS,valor_nominal,Valor nominal
ORFEBE,valor_nominal,Valor nominal
FINDICO,nro_acciones,No. Unidades
TCCTIN,valor_nominal_residual,Nominal residual
FCPIE,nro_acciones,No. Unidades
REITS,nro_acciones,No. Unidades
TPMTIN,nro_acciones,No. Unidades
FCPI,nro_acciones,No. Unidades
PCENVS,valor_nominal,Valor nominal
CCACP,nro_acciones,No. Unidades
BOGEEDB,valor_nominal,Valor nominal
CCAESPMM,nro_acciones,No. Unidades
BGEVS,valor_nominal,Valor nominal
FCPD,nro_acciones,No. Unidades
FCPDE,nro_acciones,No. Unidades
DEPVO,valor_nominal_residual,Nominal residual
