clas_sfc,clase_inversion
FWUSD,FORWARD
FWCOP,FORWARD
FWEUR,FORWARD
FWJPY,FORWARD
FWBRL,FORWARD
FWCAD,FORWARD
FWMXN,FORWARD
FWGBP,FORWARD
FWCLP,FORWARD
FWAUD,FORWARD
FWCHF,FORWARD
FWPEN,FORWARD
FWNOK,FORWARD
FWKRW,FORWARD
OPT USD,OPCIONES
OPT EUR,OPCIONES
DEPVN,VISTA
DEPVE,MONEY MARKET
DEPVO,VISTA
FINDI,Fondo Mutuo o Fondo Indice
PFMUIA,Fondo Mutuo o Fondo Indice
TSUV,Inflacion-TES
BOEVS,EM CORPORATIVOS
BOEVS,Inflacion-CORPORATIVO LOCAL
PEEBE,Notas estructuradas
TDPIT,Inflacion-CORPORATIVO LOCAL
FCP,Fondo de Capital Privado Colombia
TSTF,TF TES
BOEVS,CORPORATIVO LOCAL
TDPIT,CORPORATIVO LOCAL
TDPE,EM BONDS
TDPIT,EM CORPORATIVOS
AAEVS,Acciones Colombia
FCPI,Fondo de Capital Privado Colombia
FCPAPP,Fondo de Capital Privado Colombia
CRAAAVS,Acciones Colombia
CDEBE,MONEY MARKET
CDT,VISTA
AAENVS,Acciones Colombia
BOENVS,EM CORPORATIVOS
CDT,Variable-CORPORATIVO LOCAL
BHIP,Inflacion-CORPORATIVO LOCAL
FINDIRF,SOBERANOS OTRAS MONEDAS
TCCENVS,Inflacion-CORPORATIVO LOCAL
TCCH,CORPORATIVO LOCAL
AMEVS,Acciones Colombia
PCCBCTP,Acciones Colombia
FCPD,Fondo de Capital Privado Colombia
TSEGE,TREASURIES-MULTILATERALES-AGENCIAS
BOENVS,Inflacion-CORPORATIVO LOCAL
TDPIT,TES GLOBAL
TDEPT,EM CORPORATIVOS
PFMUITD,SOBERANOS OTRAS MONEDAS
AMENVS,Acciones Colombia
BOENVS,CORPORATIVO LOCAL
CDT,Inflacion-CORPORATIVO LOCAL
PFIMM,MONEY MARKET
CDT,CORPORATIVO LOCAL
CCCTP,FIC ACC. COL.
AEE,Acciones Colombia
TSEGE,EM BONDS
REITS,Titularización Inmobiliaria
TPMTIN,FIC ACC. COL.
TCCH,Inflacion-CORPORATIVO LOCAL
TSTF,VISTA
BOEGE,TREASURIES-MULTILATERALES-AGENCIAS
TPMTIN,Fondo de Capital Privado Colombia
BPEN,Bono Pensional
FCPDE,Fondo de Capital Privado
CCA,VISTA
FCPIE,Fondo de Capital Privado
FCPE,Fondo de Capital Privado
ORFENVS,Inflacion-CORPORATIVO LOCAL
TCCEVS,Inflacion-CORPORATIVO LOCAL
ABEVS,Acciones Colombia
CCESPI,Titularización Inmobiliaria
FINDIRF,HIGH YIELD
TCCEVS,CORPORATIVO LOCAL
FINDIRF,EM CORPORATIVOS
ABENVS,Acciones Colombia
