nemo_o_isin,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo,clase
CA14068G1046,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
US1921085049,Acciones Internacionales,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA3809564097,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA4969024047,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA6979001089,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA69946Q1046,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA8283361076,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
AOPF5 AH 3547 COLPATRIA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B BANCOLOMBIA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B BOGOTA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B CITIBANK,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B CORPBANCA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B DAVIVIENDA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B OCCIDENTE,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B SUDAMERIS,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH BCO BBVA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH COLPATRIA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
MX0MGO0000R8,EM BONDS,MXN,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
