ISIN,NOM,NAM,SECTOR,GLOBAL,US EQUITY,EUROPEAN EQUITY +  UK,JAPON EQUITY,EM GLOBAL,EM ASIAN EQUITY,LATIN AMERICAN EQUITY,ALTERNATIVE,TOTAL,ORO,PLATA,REAL ESTATE,CONTROL,RIESGO,USD,EUR,JPY,CAD,GBP,MXN,BRL,AUD,COP,TOTAL,,,,,,,,,,,,,,,
US4642866655,iShares MSCI Pacific ex-Japan,ETF Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.054425692566613657,0,0,0,0,0,0,0.9455743074333867,0,1.0000000000000002,,,,,,,,,,,,,,,
LU0188802960,PICTET JAPAN INDEX,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,0.9999999999999999,0,0,0,0,0,0,0.9999999999999999,,,,,,,,,,,,,,,
LU0106240533,"SCHRODER ISF JAPANESE EQUITY ""C"" ACC",FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,0.9999999999999999,0,0,0,0,0,0,0.9999999999999999,,,,,,,,,,,,,,,
US97717W8516,WisdomTree Japan Hedged Equity Fund,ETF Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,USD,0.002986741222665818,0,0.9970132587773363,0,0,0,0,0,0,1.000000000000002,,,,,,,,,,,,,,,
LU0607514808,INVESCO JAPANESE EQUITY ADVANTAGE IJEACAJ LX,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,0.9999931202195407,0,0,0,0,0,0,0.9999931202195407,,,,,,,,,,,,,,,
LU0248056110,JPM JF Japan Eq I Acc,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
LU0912262945,ABERDEEN GLOBAL JAPANESE EQUITY FUND,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
US9220428661,Vanguard FTSE Pacific ETF,ETF Asia,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,USD,0.0020004055073184514,6.523923412799411e-05,0.5881869963321366,0,0.00020236685486869893,0,0,0.40954499207154993,0,1.0000000000000018,,,,,,,,,,,,,,,
US5771307924,MATTHEWS JAPAN FUND,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0.004668200700542157,0,0.9953317992994579,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
LU1291102108,BNP PARIBAS EASY MSCI JAPAN,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
LU0289132572,JULIUS BAER JAPAN STOCK FUND,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1.000016256575696,0,0,0,0,0,0,1.000016256575696,,,,,,,,,,,,,,,
LU0328437438,GOLDMAN SACHS JAPAN PORTFOLIO,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
US46434G8226,iShares MSCI Japan Index Fund,ETF Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0.0017900801215697064,0,0.9982099198784301,0,0,0,0,0,0,0.9999999999999998,,,,,,,,,,,,,,,
LU0278930234,ABERDEEN GLOBAL JAPANESE SMALL,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
IE00B4L5YX21,ISHARES CORE MSCI JAPAN IMI UCITS ETF,ETF Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0.003828379099375634,0,0.996171620900622,0,0,0,0,0,0,0.9999999999999976,,,,,,,,,,,,,,,
LU0155301467,PICTET JAPANESE EQUITY OPPORTUNITIES,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
LU0188804743,PICTET-PACIFIC EX JAPAN USD,FM Asia,ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.05955523654152579,0,0,0,0,0,0,0.9404447634584744,0,1.0000000000000002,,,,,,,,,,,,,,,
LU0102000758,PARVEST EQ JAPAN SMALL CAP,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,0.9999999999999998,0,0,0,0,0,0,0.9999999999999998,,,,,,,,,,,,,,,
LU0231474593,ABERDEEN GLOBAL JAPANESE EQUITY I2 ABTJAIA LX,FM Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,JPY,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
IE00B95PGT31,VANGUARD FTSE JAPAN UCITS ETF,ETF Japan,ASIAN EQUITY,0,0,0,1,0,0,0,0,1,0,0,0,1,USD,0,0,1.0000000000000007,0,0,0,0,0,0,1.0000000000000007,,,,,,,,,,,,,,,
LU0188438542,SCHRODERS ASIAN EQUITY YIELD Ex Japan,FM Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.025531312966881544,0,0,0,0.016816738772765034,0.07203901695196777,0,0.8856129313083858,0,1.0000000000000002,,,,,,,,,,,,,,,
US4642864262,ISHARES MSCI EMA,ETF EM Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.021217848976253017,0,0,0,0,0.19902993763664367,0,0.7797522133871021,0,0.9999999999999988,,,,,,,,,,,,,,,
