isin,nemo,frecuencia,moneda
LU0523222270,LU0523222270,NAp,USD
LU0231479717,LU0231479717,NAp,USD
COB07PA00078,BCOLOMBIA,NAp,COP
COB01PA00030,BOGOTA,NAp,COP
COR01PA00010,BVC,NAp,COP
COT60PA00038,CELSIA,NAp,COP
COD38PA00046,CEMARGOS,NAp,COP
EST01PA00013,CLH,NAp,COP
COJ12PA00048,CORFICOLCF,NAp,COP
COF02PA00039,CONCONCRET,NAp,COP
COF20PA00015,ELCONDOR,NAp,COP
CA1348082035,CNEC,NAp,COP
COC04PA00016,ECOPETROL,NAp,COP
COE01PA00026,EEB,NAp,COP
COG31PA00010,EXITO,NAp,COP
COE05PA00027,GASNATURAL,NAp,COP
US38500T1016,US38500T1016,NAp,USD
COT09PA00035,GRUPOARGOS,NAp,COP
COT29PA00025,GRUPOAVAL,NAp,COP
COT13PA00086,GRUPOSURA,NAp,COP
COT04PA00028,NUTRESA,NAp,COP
PAL1801171A1,PAL1801171A1,NAp,USD
COE15PA00026,ISA,NAp,COP
COE16PA00016,ISAGEN,NAp,COP
COC07PA00027,MINEROS,NAp,COP
COF11PA00014,ODINSA,NAp,COP
CA14068G1046,CA14068G1046,NAp,CAD
US1921085049,US1921085049,NAp,USD
CA3809564097,CA3809564097,NAp,CAD
CA4969024047,CA4969024047,NAp,CAD
CA6979001089,CA6979001089,NAp,CAD
CA69946Q1046,CA69946Q1046,NAp,CAD
CA8283361076,CA8283361076,NAp,CAD
COG20PA00021,TERPEL,NAp,COP
PAI69PA00017,PFAVH,NAp,COP
COB07PA00086,PFBCOLOM,NAp,COP
COB51PA00076,PFDAVVNDA,NAp,COP
COD9HPA00012,PFCARPAK,NAp,COP
COD38PA00053,PFCEMARGOS,NAp,COP
COJ12PA00097,PFCORFICOL,NAp,COP
COT09PA00043,PFGRUPOARG,NAp,COP
COT13PA00060,PFGRUPSURA,NAp,COP
COT29PA00058,PFAVAL,NAp,COP
US05968L1026,US05968L1026,NAp,USD
US3444191064,US3444191064,NAp,USD
US91912E1055,US91912E1055,NAp,USD
US05367G1004,US05367G1004,NAp,USD
US40053W1018,US40053W1018,NAp,USD
AOPF5 AH 3547 COLPATRIA,AOPF5 AH 3547 COLPATRIA,DV,COP
AOPF5 AH B BANCOLOMBIA,AOPF5 AH B BANCOLOMBIA,DV,COP
AOPF5 AH B BOGOTA,AOPF5 AH B BOGOTA,DV,COP
