plazo_dias,valor
1,0.00132871
2,0.00088581
3,0.0004429
4,0.0
5,0.00132871
6,0.00265743
7,0.00398614
8,0.00531486
9,0.00664357
10,0.00797229
11,0.009301
12,0.01065127
13,0.01200154
14,0.01335181
15,0.01470208
16,0.01605235
17,0.01740263
18,0.0187529
19,0.02010317
20,0.02145344
21,0.02280371
22,0.02415398
23,0.02550425
24,0.02685452
25,0.02820479
26,0.02955506
27,0.03090533
28,0.0322556
29,0.03360588
30,0.03495615
31,0.03630642
32,0.03765669
33,0.03900696
34,0.04035723
35,0.0417075
36,0.0427748
37,0.04384209
38,0.04490939
39,0.04597669
40,0.04704398
41,0.04811128
42,0.04917858
43,0.05024588
44,0.05131317
45,0.05238047
46,0.05344777
47,0.05451506
48,0.05558236
49,0.05664966
50,0.05771695
51,0.05878425
52,0.05985155
53,0.06091884
54,0.06198614
55,0.06305344
56,0.06412073
57,0.06518803
58,0.06625533
59,0.06732263
60,0.06838992
61,0.06945722
62,0.07052452
63,0.07159181
64,0.07265911
65,0.07372641
66,0.0747937
67,0.075861
68,0.07705366
69,0.07824631
70,0.07943897
71,0.08063162
72,0.08182428
73,0.08301693
74,0.08420959
75,0.08540224
76,0.0865949
77,0.08778755
78,0.08898021
79,0.09017286
80,0.09136552
81,0.09255817
82,0.09375083
83,0.09494348
84,0.09613614
85,0.09732879
86,0.09852145
87,0.0997141
88,0.10090676
89,0.10209941
90,0.10329207
91,0.10448472
92,0.10567738
93,0.10687003
94,0.10806269
95,0.10925534
96,0.110448
97,0.11153512
98,0.11262224
99,0.11370936
100,0.11479648
101,0.1158836
102,0.11697072
103,0.11805784
104,0.11914496
105,0.12023208
106,0.1213192
107,0.12240632
108,0.12349343
109,0.12458055
110,0.12566767
111,0.12675479
112,0.12784191
113,0.12892903
114,0.13001615
115,0.13110327
116,0.13219039
117,0.13327751
118,0.13436463
119,0.13545175
120,0.13653887
121,0.13762599
122,0.13871311
123,0.13980023
124,0.14088735
125,0.14197447
126,0.14306159
127,0.14414871
128,0.14523583
129,0.14632295
130,0.14741007
131,0.14849718
132,0.1495843
133,0.15067142
134,0.15175854
135,0.15284566
136,0.15393278
137,0.1550199
138,0.15610702
139,0.15719414
140,0.15828126
141,0.15936838
142,0.1604555
143,0.16154262
144,0.16262974
145,0.16371686
146,0.16480398
147,0.1658911
