plazo_dias,valor
1,0.77453
2,1.54794167
3,2.32135333
4,3.094765
5,3.86817667
6,4.64158833
7,5.415
8,6.12857143
9,6.84214286
10,7.55571429
11,8.26928571
12,8.98285714
13,9.69642857
14,10.41
15,11.15825
16,11.9065
17,12.65475
18,13.403
19,14.15125
20,14.8995
21,15.64775
22,16.396
23,17.14425
24,17.8925
25,18.64075
26,19.389
27,20.13725
28,20.8855
29,21.63375
30,22.382
31,23.13025
32,23.8785
33,24.62675
34,25.375
35,26.15517241
36,26.93534483
37,27.71551724
38,28.49568966
39,29.27586207
40,30.05603448
41,30.8362069
42,31.61637931
43,32.39655172
44,33.17672414
45,33.95689655
46,34.73706897
47,35.51724138
48,36.29741379
49,37.07758621
50,37.85775862
51,38.63793103
52,39.41810345
53,40.19827586
54,40.97844828
55,41.75862069
56,42.5387931
57,43.31896552
58,44.09913793
59,44.87931034
60,45.65948276
61,46.43965517
62,47.21982759
63,48.0
64,48.7887931
65,49.57758621
66,50.36637931
67,51.15517241
68,51.94396552
69,52.73275862
70,53.52155172
71,54.31034483
72,55.09913793
73,55.88793103
74,56.67672414
75,57.46551724
76,58.25431034
77,59.04310345
78,59.83189655
79,60.62068966
80,61.40948276
81,62.19827586
82,62.98706897
83,63.77586207
84,64.56465517
85,65.35344828
86,66.14224138
87,66.93103448
88,67.71982759
89,68.50862069
90,69.29741379
91,70.0862069
92,70.875
93,71.67105263
94,72.46710526
95,73.26315789
96,74.05921053
97,74.85526316
98,75.65131579
99,76.44736842
100,77.24342105
101,78.03947368
102,78.83552632
103,79.63157895
104,80.42763158
105,81.22368421
106,82.01973684
107,82.81578947
108,83.61184211
109,84.40789474
110,85.20394737
111,86.0
112,86.79605263
113,87.59210526
114,88.38815789
115,89.18421053
116,89.98026316
117,90.77631579
118,91.57236842
119,92.36842105
120,93.16447368
121,93.96052632
122,94.75657895
123,95.55263158
124,96.34868421
125,97.14473684
126,97.94078947
127,98.73684211
128,99.53289474
129,100.32894737
130,101.125
131,101.92105263
132,102.71710526
133,103.51315789
134,104.30921053
135,105.10526316
136,105.90131579
137,106.69736842
138,107.49342105
139,108.28947368
140,109.08552632
141,109.88157895
142,110.67763158
143,111.47368421
144,112.26973684
145,113.06578947
146,113.86184211
147,114.65789474
148,115.45394737
149,116.25
150,117.04605263
151,117.84210526
152,118.63815789
153,119.43421053
154,120.23026316
155,121.02631579
156,121.82236842
157,122.61842105
158,123.41447368
159,124.21052632
160,125.00657895
161,125.80263158
162,126.59868421
163,127.39473684
164,128.19078947
165,128.98684211
166,129.78289474
167,130.57894737
168,131.375
169,132.17105263
170,132.96710526
171,133.76315789
172,134.55921053
173,135.35526316
174,136.15131579
175,136.94736842
176,137.74342105
177,138.53947368
178,139.33552632
179,140.13157895
180,140.92763158
181,141.72368421
182,142.51973684
183,143.31578947
184,144.11184211
185,144.90789474
186,145.70394737
187,146.5
188,147.32833333
189,148.15666667
190,148.985
191,149.81333333
192,150.64166667
193,151.47
194,152.29833333
195,153.12666667
196,153.955
197,154.78333333
198,155.61166667
199,156.44
200,157.26833333
201,158.09666667
202,158.925
203,159.75333333
204,160.58166667
205,161.41
206,162.23833333
207,163.06666667
208,163.895
209,164.72333333
210,165.55166667
211,166.38
212,167.20833333
213,168.03666667
214,168.865
215,169.69333333
216,170.52166667
217,171.35
218,172.17833333
219,173.00666667
220,173.835
221,174.66333333
222,175.49166667
223,176.32
224,177.14833333
225,177.97666667
226,178.805
227,179.63333333
228,180.46166667
229,181.29
230,182.11833333
231,182.94666667
232,183.775
233,184.60333333
234,185.43166667
235,186.26
236,187.08833333
237,187.91666667
238,188.745
239,189.57333333
240,190.40166667
241,191.23
242,192.05833333
243,192.88666667
244,193.715
245,194.54333333
246,195.37166667
247,196.2
248,197.02833333
249,197.85666667
250,198.685
251,199.51333333
252,200.34166667
253,201.17
254,201.99833333
255,202.82666667
256,203.655
257,204.48333333
258,205.31166667
259,206.14
260,206.96833333
261,207.79666667
262,208.625
263,209.45333333
264,210.28166667
265,211.11
266,211.93833333
267,212.76666667
268,213.595
269,214.42333333
270,215.25166667
271,216.08
272,216.90833333
273,217.73666667
274,218.565
275,219.39333333
276,220.22166667
277,221.05
278,221.87897727
279,222.70795455
280,223.53693182
281,224.36590909
282,225.19488636
283,226.02386364
284,226.85284091
285,227.68181818
