plazo_dias,valor
1,-0.0495
2,-0.033
3,-0.0165
4,0.0
5,-0.012549999999999999
6,-0.024964285699999998
7,-0.0373785714
8,-0.049792857100000004
9,-0.062207142800000004
10,-0.0746214285
11,-0.08703571419999999
12,-0.09945
13,-0.1119416666
14,-0.1244333333
15,-0.13692500000000002
16,-0.1494166666
17,-0.1619083333
18,-0.1744
19,-0.1875857142
20,-0.20077142850000002
21,-0.2139571428
22,-0.22714285709999998
23,-0.2403285714
24,-0.2535142857
25,-0.2667
26,-0.2796
27,-0.2925
28,-0.3054
29,-0.31829999999999997
30,-0.3312
31,-0.34409999999999996
32,-0.35700000000000004
33,-0.3699
34,-0.38280000000000003
35,-0.3957
36,-0.4086390625
37,-0.42157812499999997
38,-0.43451718749999996
39,-0.44745624999999994
40,-0.46039531250000004
41,-0.47333437500000003
42,-0.4862734375
43,-0.4992125
44,-0.5121515625
45,-0.525090625
46,-0.5380296875
47,-0.55096875
48,-0.5639078125
49,-0.576846875
50,-0.5897859375
51,-0.602725
52,-0.6156640625
53,-0.628603125
54,-0.6415421875
55,-0.65448125
56,-0.6674203125
57,-0.680359375
58,-0.6932984375
59,-0.7062375
60,-0.7191765625
61,-0.732115625
62,-0.7450546875
63,-0.75799375
64,-0.7709328125
65,-0.783871875
66,-0.7968109375
67,-0.80975
68,-0.8232206895999999
69,-0.8366913793
70,-0.8501620689
71,-0.8636327586
72,-0.8771034482000001
73,-0.8905741379
74,-0.9040448275
75,-0.9175155171999999
76,-0.9309862068
77,-0.9444568965000001
78,-0.9579275862
79,-0.9713982758
80,-0.9848689655
81,-0.9983396551
82,-1.0118103448
83,-1.0252810343999998
84,-1.0387517241
85,-1.0522224137
86,-1.0656931034000001
87,-1.0791637931
88,-1.0926344827
89,-1.1061051724
90,-1.119575862
91,-1.1330465517000001
92,-1.1465172413
93,-1.159987931
94,-1.1734586206
95,-1.1869293103
96,-1.2004000000000001
97,-1.213598387
98,-1.2267967740999999
99,-1.2399951612
100,-1.2531935482999998
101,-1.2663919354
102,-1.2795903225
103,-1.2927887096000001
104,-1.3059870967
105,-1.3191854838000001
106,-1.3323838709
107,-1.345582258
108,-1.3587806451
109,-1.3719790322
110,-1.3851774193
111,-1.3983758064
112,-1.4115741935
113,-1.4247725806
114,-1.4379709676999999
115,-1.4511693548
116,-1.4643677418999999
117,-1.477566129
118,-1.4907645160999998
119,-1.5039629032
120,-1.5171612902999998
121,-1.5303596774
122,-1.5435580645
123,-1.5567564515999999
124,-1.5699548387
125,-1.5831532257999998
126,-1.5963516129000002
127,-1.60955
128,-1.6226193548
129,-1.6356887096
130,-1.6487580645
131,-1.6618274193
132,-1.6748967741
133,-1.687966129
134,-1.7010354838000001
135,-1.7141048387
136,-1.7271741935
137,-1.7402435482999998
138,-1.7533129031999999
139,-1.766382258
140,-1.7794516129
141,-1.7925209677
142,-1.8055903225
143,-1.8186596774000001
144,-1.8317290322
145,-1.844798387
146,-1.8578677418999998
147,-1.8709370967
148,-1.8840064516000001
149,-1.8970758064
150,-1.9101451612
151,-1.9232145161
152,-1.9362838708999999
153,-1.9493532258
154,-1.9624225806000002
155,-1.9754919354
156,-1.9885612903
157,-2.0016306451
158,-2.0147
159,-2.0291550000000003
160,-2.0436099999999997
161,-2.058065
162,-2.07252
163,-2.086975
164,-2.10143
165,-2.115885
166,-2.13034
167,-2.1447950000000002
168,-2.15925
169,-2.173705
170,-2.18816
171,-2.202615
172,-2.21707
173,-2.231525
174,-2.2459800000000003
175,-2.2604349999999998
176,-2.27489
177,-2.289345
178,-2.3038
179,-2.318255
180,-2.33271
181,-2.347165
182,-2.3616200000000003
183,-2.3760749999999997
184,-2.39053
185,-2.404985
186,-2.41944
187,-2.433895
188,-2.44835
189,-2.4612794117
190,-2.4742088235
191,-2.4871382352
192,-2.500067647
193,-2.5129970588
194,-2.5259264705
195,-2.5388558823
196,-2.5517852941
197,-2.5647147058
198,-2.5776441176
199,-2.5905735294
200,-2.6035029411
201,-2.6164323529
202,-2.6293617647
203,-2.6422911764
204,-2.6552205881999997
205,-2.66815
206,-2.6810794117
207,-2.6940088235000004
208,-2.7069382352000004
209,-2.7198676469999996
210,-2.7327970588
211,-2.7457264705
212,-2.7586558823000003
213,-2.7715852941000003
214,-2.7845147058
215,-2.7974441176
216,-2.8103735294
217,-2.8233029411
218,-2.8362323529
219,-2.8491617647
220,-2.8620911764
221,-2.8750205882
222,-2.88795
223,-2.9008666666
224,-2.9137833332999996
225,-2.9267000000000003
226,-2.9396166666
227,-2.9525333333
228,-2.96545
229,-2.9783666666
230,-2.9912833332999997
231,-3.0042
232,-3.0171166665999998
233,-3.0300333332999996
234,-3.0429500000000003
235,-3.0558666666
236,-3.0687833333
237,-3.0817
238,-3.0946166666
239,-3.1075333332999997
240,-3.12045
241,-3.1333666665999997
242,-3.1462833332999995
243,-3.1592000000000002
244,-3.1721166666
245,-3.1850333333
246,-3.19795
247,-3.2108666666
248,-3.2237833332999997
249,-3.2367000000000004
250,-3.2499827586
251,-3.2632655172
252,-3.2765482758
253,-3.2898310343999997
254,-3.3031137931
255,-3.3163965517000005
256,-3.3296793103
257,-3.3429620689
258,-3.3562448275000003
259,-3.3695275862
260,-3.3828103448
261,-3.3960931033999997
262,-3.409375862
263,-3.4226586206
264,-3.4359413793
265,-3.4492241379
266,-3.4625068965000003
267,-3.4757896551
268,-3.4890724137
269,-3.5023551723999997
270,-3.515637931
271,-3.5289206896
272,-3.5422034482
273,-3.5554862068
274,-3.5687689655000003
275,-3.5820517241
276,-3.5953344827000002
277,-3.6086172413
278,-3.6219
279,-3.63469
280,-3.64748
281,-3.6602699999999997
282,-3.67306
283,-3.68585
284,-3.6986399999999997
285,-3.7114299999999996
286,-3.7242200000000003
287,-3.73701
288,-3.7498
289,-3.7625900000000003
290,-3.77538
291,-3.78817
292,-3.80096
293,-3.81375
294,-3.82654
295,-3.83933
296,-3.8521199999999998
297,-3.86491
298,-3.8777
299,-3.89049
300,-3.9032799999999996
301,-3.9160700000000004
302,-3.9288600000000002
303,-3.94165
304,-3.95444
305,-3.9672300000000003
306,-3.98002
307,-3.99281
308,-4.0056
309,-4.0181812500000005
310,-4.0307625
311,-4.04334375
312,-4.055924999999999
313,-4.0685062499999995
314,-4.0810875
315,-4.09366875
316,-4.10625
317,-4.11883125
318,-4.1314125
319,-4.14399375
