plazo_dias,valor
1,0.005745
2,0.00383
3,0.001915
4,0.0
5,0.00145114
6,0.00290229
7,0.00435343
8,0.00580457
9,0.00725571
10,0.00870686
11,0.010158
12,0.01164986
13,0.01314171
14,0.01463357
15,0.01612543
16,0.01761729
17,0.01910914
18,0.020601
19,0.02207621
20,0.02355143
21,0.02502664
22,0.02650186
23,0.02797707
24,0.02945229
25,0.0309275
26,0.0323639
27,0.0338003
28,0.0352367
29,0.0366731
30,0.0381095
31,0.0395459
32,0.0409823
33,0.0424187
34,0.0438551
35,0.0452915
36,0.04675269
37,0.04821388
38,0.04967506
39,0.05113625
40,0.05259744
41,0.05405863
42,0.05551981
43,0.056981
44,0.05844219
45,0.05990338
46,0.06136456
47,0.06282575
48,0.06428694
49,0.06574813
50,0.06720931
51,0.0686705
52,0.07013169
53,0.07159288
54,0.07305406
55,0.07451525
56,0.07597644
57,0.07743763
58,0.07889881
59,0.08036
60,0.08182119
61,0.08328238
62,0.08474356
63,0.08620475
64,0.08766594
65,0.08912713
66,0.09058831
67,0.0920495
68,0.09349674
69,0.09494398
70,0.09639122
71,0.09783847
72,0.09928571
73,0.10073295
74,0.10218019
75,0.10362743
76,0.10507467
77,0.10652191
78,0.10796916
79,0.1094164
80,0.11086364
81,0.11231088
82,0.11375812
83,0.11520536
84,0.1166526
85,0.11809984
86,0.11954709
87,0.12099433
88,0.12244157
89,0.12388881
90,0.12533605
91,0.12678329
92,0.12823053
93,0.12967778
94,0.13112502
95,0.13257226
96,0.1340195
97,0.13542326
98,0.13682702
99,0.13823077
100,0.13963453
101,0.14103829
102,0.14244205
103,0.14384581
104,0.14524956
105,0.14665332
106,0.14805708
107,0.14946084
108,0.1508646
109,0.15226835
110,0.15367211
111,0.15507587
112,0.15647963
113,0.15788339
114,0.15928715
115,0.1606909
116,0.16209466
117,0.16349842
118,0.16490218
119,0.16630594
120,0.16770969
121,0.16911345
122,0.17051721
123,0.17192097
124,0.17332473
125,0.17472848
126,0.17613224
127,0.177536
128,0.17890945
129,0.1802829
130,0.18165635
131,0.18302981
132,0.18440326
133,0.18577671
134,0.18715016
135,0.18852361
136,0.18989706
137,0.19127052
138,0.19264397
139,0.19401742
140,0.19539087
141,0.19676432
142,0.19813777
143,0.19951123
144,0.20088468
145,0.20225813
146,0.20363158
147,0.20500503
148,0.20637848
149,0.20775194
150,0.20912539
151,0.21049884
152,0.21187229
153,0.21324574
154,0.21461919
155,0.21599265
156,0.2173661
157,0.21873955
158,0.220113
159,0.22144647
160,0.22277993
161,0.2241134
162,0.22544687
163,0.22678033
164,0.2281138
165,0.22944727
166,0.23078073
167,0.2321142
168,0.23344767
169,0.23478113
170,0.2361146
171,0.23744807
172,0.23878153
173,0.240115
174,0.24144847
175,0.24278193
176,0.2441154
177,0.24544887
178,0.24678233
179,0.2481158
180,0.24944927
181,0.25078273
182,0.2521162
183,0.25344967
184,0.25478313
185,0.2561166
186,0.25745007
187,0.25878353
188,0.260117
189,0.26146641
190,0.26281582
191,0.26416524
192,0.26551465
193,0.26686406
194,0.26821347
195,0.26956288
196,0.27091229
197,0.27226171
198,0.27361112
199,0.27496053
200,0.27630994
201,0.27765935
202,0.27900876
203,0.28035818
204,0.28170759
205,0.283057
206,0.28440641
207,0.28575582
208,0.28710524
209,0.28845465
210,0.28980406
211,0.29115347
212,0.29250288
213,0.29385229
214,0.29520171
215,0.29655112
216,0.29790053
217,0.29924994
218,0.30059935
219,0.30194876
220,0.30329818
221,0.30464759
222,0.305997
223,0.30738548
224,0.30877396
225,0.31016245
226,0.31155093
227,0.31293941
228,0.31432789
229,0.31571638
230,0.31710486
231,0.31849334
232,0.31988182
233,0.3212703
234,0.32265879
235,0.32404727
236,0.32543575
237,0.32682423
238,0.32821271
239,0.3296012
240,0.33098968
241,0.33237816
242,0.33376664
243,0.33515513
244,0.33654361
245,0.33793209
246,0.33932057
247,0.34070905
248,0.34209754
249,0.34348602
250,0.3448745
251,0.34624114
252,0.34760779
253,0.34897443
254,0.35034107
255,0.35170771
256,0.35307436
257,0.354441
258,0.35580764
259,0.35717429
260,0.35854093
261,0.35990757
262,0.36127421
263,0.36264086
264,0.3640075
265,0.36537414
266,0.36674079
267,0.36810743
268,0.36947407
269,0.37084071
270,0.37220736
271,0.373574
272,0.37494064
273,0.37630729
274,0.37767393
275,0.37904057
276,0.38040721
277,0.38177386
278,0.3831405
279,0.38458318
280,0.38602587
281,0.38746855
282,0.38891123
283,0.39035392
284,0.3917966
285,0.39323928
286,0.39468197
287,0.39612465
288,0.39756733
289,0.39901002
290,0.4004527
291,0.40189538
292,0.40333807
293,0.40478075
294,0.40622343
295,0.40766612
296,0.4091088
297,0.41055148
298,0.41199417
299,0.41343685
300,0.41487953
301,0.41632222
302,0.4177649
303,0.41920758
304,0.42065027
305,0.42209295
306,0.42353563
307,0.42497832
308,0.426421
309,0.42789481
310,0.42936863
311,0.43084244
312,0.43231625
313,0.43379006
314,0.43526388
315,0.43673769
316,0.4382115
317,0.43968531
318,0.44115913
319,0.44263294
320,0.44410675
321,0.44558056
322,0.44705438
323,0.44852819
324,0.450002
325,0.45147581
326,0.45294963
327,0.45442344
328,0.45589725
329,0.45737106
330,0.45884488
331,0.46031869
332,0.4617925
333,0.46326631
334,0.46474013
335,0.46621394
336,0.46768775
337,0.46916156
338,0.47063538
339,0.47210919
340,0.473583
341,0.47504403
342,0.47650507
343,0.4779661
344,0.47942714
345,0.48088817
346,0.48234921
347,0.48381024
348,0.48527128
349,0.48673231
350,0.48819334
351,0.48965438
352,0.49111541
353,0.49257645
354,0.49403748
355,0.49549852
356,0.49695955
357,0.49842059
358,0.49988162
359,0.50134266
360,0.50280369
361,0.50426472
362,0.50572576
363,0.50718679
364,0.50864783
365,0.51010886
366,0.5115699
367,0.51303093
368,0.51449197
369,0.515953
370,0.51771405
371,0.51947511
372,0.52123616
373,0.52299722
374,0.52475827
375,0.52651933
376,0.52828038
377,0.53004143
378,0.53180249
379,0.53356354
380,0.5353246
381,0.53708565
382,0.53884671
383,0.54060776
384,0.54236882
385,0.54412987
386,0.54589092
387,0.54765198
388,0.54941303
389,0.55117409
390,0.55293514
391,0.5546962
392,0.55645725
393,0.5582183
394,0.55997936
395,0.56174041
396,0.56350147
397,0.56526252
398,0.56702358
399,0.56878463
400,0.57054568
401,0.57230674
402,0.57406779
403,0.57582885
404,0.5775899
405,0.57935096
406,0.58111201
407,0.58287307
408,0.58463412
409,0.58639517
410,0.58815623
411,0.58991728
412,0.59167834
413,0.59343939
414,0.59520045
415,0.5969615
416,0.59872255
417,0.60048361
418,0.60224466
419,0.60400572
420,0.60576677
421,0.60752783
422,0.60928888
423,0.61104993
424,0.61281099
425,0.61457204
426,0.6163331
427,0.61809415
428,0.61985521
429,0.62161626
430,0.62337732
431,0.62513837
432,0.62689942
433,0.62866048
434,0.63042153
435,0.63218259
436,0.63394364
437,0.6357047
438,0.63746575
439,0.6392268
440,0.64098786
441,0.64274891
442,0.64450997
443,0.64627102
444,0.64803208
445,0.64979313
446,0.65155418
447,0.65331524
448,0.65507629
449,0.65683735
450,0.6585984
451,0.66035946
452,0.66212051
453,0.66388157
454,0.66564262
455,0.66740367
456,0.66916473
457,0.67092578
458,0.67268684
459,0.67444789
460,0.67620895
461,0.67797
462,0.67973105
463,0.68149211
464,0.68325316
465,0.68501422
466,0.68677527
467,0.68853633
468,0.69029738
469,0.69205843
470,0.69381949
471,0.69558054
472,0.6973416
473,0.69910265
474,0.70086371
475,0.70262476
476,0.70438582
477,0.70614687
478,0.70790792
479,0.70966898
480,0.71143003
481,0.71319109
482,0.71495214
483,0.7167132
484,0.71847425
485,0.7202353
486,0.72199636
487,0.72375741
488,0.72551847
489,0.72727952
490,0.72904058
491,0.73080163
492,0.73256268
493,0.73432374
494,0.73608479
495,0.73784585
496,0.7396069
497,0.74136796
498,0.74312901
499,0.74489007
500,0.74665112
501,0.74841217
502,0.75017323
503,0.75193428
504,0.75369534
505,0.75545639
506,0.75721745
507,0.7589785
508,0.76073955
509,0.76250061
510,0.76426166
511,0.76602272
512,0.76778377
513,0.76954483
514,0.77130588
515,0.77306693
516,0.77482799
517,0.77658904
518,0.7783501
519,0.78011115
520,0.78187221
521,0.78363326
522,0.78539432
523,0.78715537
524,0.78891642
525,0.79067748
526,0.79243853
527,0.79419959
528,0.79596064
529,0.7977217
530,0.79948275
531,0.8012438
532,0.80300486
533,0.80476591
534,0.80652697
535,0.80828802
536,0.81004908
537,0.81181013
538,0.81357118
539,0.81533224
540,0.81709329
541,0.81885435
542,0.8206154
543,0.82237646
544,0.82413751
545,0.82589857
546,0.82765962
547,0.82942067
548,0.83118173
549,0.83294278
550,0.83470384
551,0.83646489
552,0.83822595
553,0.839987
554,0.84187565
555,0.84376429
556,0.84565294
557,0.84754158
558,0.84943023
559,0.85131887
560,0.85320752
561,0.85509616
562,0.85698481
563,0.85887346
564,0.8607621
565,0.86265075
566,0.86453939
567,0.86642804
568,0.86831668
569,0.87020533
570,0.87209398
571,0.87398262
572,0.87587127
573,0.87775991
574,0.87964856
575,0.8815372
576,0.88342585
577,0.88531449
578,0.88720314
579,0.88909179
580,0.89098043
581,0.89286908
582,0.89475772
583,0.89664637
584,0.89853501
585,0.90042366
586,0.9023123
587,0.90420095
588,0.9060896
589,0.90797824
590,0.90986689
591,0.91175553
592,0.91364418
593,0.91553282
594,0.91742147
595,0.91931012
596,0.92119876
597,0.92308741
598,0.92497605
599,0.9268647
600,0.92875334
601,0.93064199
602,0.93253063
603,0.93441928
604,0.93630793
605,0.93819657
606,0.94008522
607,0.94197386
608,0.94386251
609,0.94575115
610,0.9476398
611,0.94952845
612,0.95141709
613,0.95330574
614,0.95519438
615,0.95708303
616,0.95897167
617,0.96086032
618,0.96274896
619,0.96463761
620,0.96652626
621,0.9684149
622,0.97030355
623,0.97219219
624,0.97408084
625,0.97596948
626,0.97785813
627,0.97974677
628,0.98163542
629,0.98352407
630,0.98541271
631,0.98730136
632,0.98919
633,0.99107865
634,0.99296729
635,0.99485594
636,0.99674459
637,0.99863323
638,1.00052188
639,1.00241052
640,1.00429917
641,1.00618781
642,1.00807646
643,1.0099651
644,1.01185375
645,1.0137424
646,1.01563104
647,1.01751969
648,1.01940833
649,1.02129698
650,1.02318562
651,1.02507427
652,1.02696291
653,1.02885156
654,1.03074021
655,1.03262885
656,1.0345175
657,1.03640614
658,1.03829479
659,1.04018343
660,1.04207208
661,1.04396073
662,1.04584937
663,1.04773802
664,1.04962666
665,1.05151531
666,1.05340395
667,1.0552926
668,1.05718124
669,1.05906989
670,1.06095854
671,1.06284718
672,1.06473583
673,1.06662447
674,1.06851312
675,1.07040176
676,1.07229041
677,1.07417905
678,1.0760677
679,1.07795635
680,1.07984499
681,1.08173364
682,1.08362228
683,1.08551093
684,1.08739957
685,1.08928822
686,1.09117687
687,1.09306551
688,1.09495416
689,1.0968428
690,1.09873145
691,1.10062009
692,1.10250874
693,1.10439738
694,1.10628603
695,1.10817468
696,1.11006332
697,1.11195197
698,1.11384061
699,1.11572926
700,1.1176179
701,1.11950655
702,1.1213952
703,1.12328384
704,1.12517249
705,1.12706113
706,1.12894978
707,1.13083842
708,1.13272707
709,1.13461571
710,1.13650436
711,1.13839301
712,1.14028165
713,1.1421703
714,1.14405894
715,1.14594759
716,1.14783623
717,1.14972488
718,1.15161352
719,1.15350217
720,1.15539082
721,1.15727946
722,1.15916811
723,1.16105675
724,1.1629454
725,1.16483404
726,1.16672269
727,1.16861134
728,1.17049998
729,1.17238863
730,1.17427727
731,1.17616592
732,1.17805456
733,1.17994321
734,1.18183185
735,1.1837205
736,1.18600744
737,1.18829438
738,1.19058132
739,1.19286826
740,1.19515521
741,1.19744215
742,1.19972909
743,1.20201603
744,1.20430297
745,1.20658991
746,1.20887685
747,1.21116379
748,1.21345073
749,1.21573768
750,1.21802462
751,1.22031156
752,1.2225985
753,1.22488544
754,1.22717238
755,1.22945932
756,1.23174626
757,1.2340332
758,1.23632015
759,1.23860709
760,1.24089403
761,1.24318097
762,1.24546791
763,1.24775485
764,1.25004179
765,1.25232873
766,1.25461567
767,1.25690262
768,1.25918956
769,1.2614765
770,1.26376344
771,1.26605038
772,1.26833732
773,1.27062426
774,1.2729112
775,1.27519814
776,1.27748508
777,1.27977203
778,1.28205897
779,1.28434591
780,1.28663285
781,1.28891979
782,1.29120673
783,1.29349367
784,1.29578061
785,1.29806755
786,1.3003545
787,1.30264144
788,1.30492838
789,1.30721532
790,1.30950226
791,1.3117892
792,1.31407614
793,1.31636308
794,1.31865002
795,1.32093697
796,1.32322391
797,1.32551085
798,1.32779779
799,1.33008473
800,1.33237167
801,1.33465861
802,1.33694555
803,1.33923249
804,1.34151944
805,1.34380638
806,1.34609332
807,1.34838026
808,1.3506672
809,1.35295414
810,1.35524108
811,1.35752802
812,1.35981496
813,1.36210191
814,1.36438885
815,1.36667579
816,1.36896273
817,1.37124967
818,1.37353661
819,1.37582355
820,1.37811049
821,1.38039743
822,1.38268438
823,1.38497132
824,1.38725826
825,1.3895452
826,1.39183214
827,1.39411908
828,1.39640602
829,1.39869296
830,1.4009799
831,1.40326685
832,1.40555379
833,1.40784073
834,1.41012767
835,1.41241461
836,1.41470155
837,1.41698849
838,1.41927543
839,1.42156237
840,1.42384932
841,1.42613626
842,1.4284232
843,1.43071014
844,1.43299708
845,1.43528402
846,1.43757096
847,1.4398579
848,1.44214484
849,1.44443178
850,1.44671873
851,1.44900567
852,1.45129261
853,1.45357955
854,1.45586649
855,1.45815343
856,1.46044037
857,1.46272731
858,1.46501425
859,1.4673012
860,1.46958814
861,1.47187508
862,1.47416202
863,1.47644896
864,1.4787359
865,1.48102284
866,1.48330978
867,1.48559672
868,1.48788367
869,1.49017061
870,1.49245755
871,1.49474449
872,1.49703143
873,1.49931837
874,1.50160531
875,1.50389225
876,1.50617919
877,1.50846614
878,1.51075308
879,1.51304002
880,1.51532696
881,1.5176139
882,1.51990084
883,1.52218778
884,1.52447472
885,1.52676166
886,1.52904861
887,1.53133555
888,1.53362249
889,1.53590943
890,1.53819637
891,1.54048331
892,1.54277025
893,1.54505719
894,1.54734413
895,1.54963108
896,1.55191802
897,1.55420496
898,1.5564919
899,1.55877884
900,1.56106578
901,1.56335272
902,1.56563966
903,1.5679266
904,1.57021355
905,1.57250049
906,1.57478743
907,1.57707437
908,1.57936131
909,1.58164825
910,1.58393519
911,1.58622213
912,1.58850907
913,1.59079602
914,1.59308296
915,1.5953699
916,1.59765684
917,1.59994378
918,1.60223072
919,1.60451766
920,1.6068046
921,1.60909154
922,1.61137848
923,1.61366543
924,1.61595237
925,1.61823931
926,1.62052625
927,1.62281319
928,1.62510013
929,1.62738707
930,1.62967401
931,1.63196095
932,1.6342479
933,1.63653484
934,1.63882178
935,1.64110872
936,1.64339566
937,1.6456826
938,1.64796954
939,1.65025648
940,1.65254342
941,1.65483037
942,1.65711731
943,1.65940425
944,1.66169119
945,1.66397813
946,1.66626507
947,1.66855201
948,1.67083895
949,1.67312589
950,1.67541284
951,1.67769978
952,1.67998672
953,1.68227366
954,1.6845606
955,1.68684754
956,1.68913448
957,1.69142142
958,1.69370836
959,1.69599531
960,1.69828225
961,1.70056919
962,1.70285613
963,1.70514307
964,1.70743001
965,1.70971695
966,1.71200389
967,1.71429083
968,1.71657778
969,1.71886472
970,1.72115166
971,1.7234386
972,1.72572554
973,1.72801248
974,1.73029942
975,1.73258636
976,1.7348733
977,1.73716025
978,1.73944719
979,1.74173413
980,1.74402107
981,1.74630801
982,1.74859495
983,1.75088189
984,1.75316883
985,1.75545577
986,1.75774272
987,1.76002966
988,1.7623166
989,1.76460354
990,1.76689048
991,1.76917742
992,1.77146436
993,1.7737513
994,1.77603824
995,1.77832518
996,1.78061213
997,1.78289907
998,1.78518601
999,1.78747295
1000,1.78975989
1001,1.79204683
1002,1.79433377
1003,1.79662071
1004,1.79890765
1005,1.8011946
1006,1.80348154
1007,1.80576848
1008,1.80805542
1009,1.81034236
1010,1.8126293
1011,1.81491624
1012,1.81720318
1013,1.81949012
1014,1.82177707
1015,1.82406401
1016,1.82635095
