plazo_dias,valor
1,-0.0279963189
2,0.0090920898
3,0.0214838303
4,0.027701393
5,0.024917253
6,0.0230803142
7,0.0217797498
8,0.0216279546
9,0.0215185935
10,0.0214389301
11,0.0213808596
12,0.0213310736
13,0.0212949524
14,0.0212695635
15,0.021001584
16,0.0207720485
17,0.0205741692
18,0.0204026663
19,0.0202190327
20,0.0200577067
21,0.0199154981
22,0.0197897973
23,0.0196784483
24,0.0195796544
25,0.0194919066
26,0.0194219754
27,0.0193601294
28,0.0193055
29,0.0192573387
30,0.0192149963
31,0.0191779078
32,0.0191455785
33,0.0191175739
34,0.0190935108
35,0.0189743098
36,0.0188619058
37,0.0187543105
38,0.0186542798
39,0.0185612303
40,0.0184746367
41,0.0183940255
42,0.0183189675
43,0.0182490744
44,0.0181839923
45,0.0181233991
46,0.018067001
47,0.0180145287
48,0.0179657358
49,0.0179203957
50,0.0178783001
51,0.0178392569
52,0.0178030888
53,0.0177696321
54,0.0177387349
55,0.0177102567
56,0.0176840667
57,0.0176600434
58,0.0176380739
59,0.0176180525
60,0.017599881
61,0.0175834674
62,0.0175687257
63,0.0175555753
64,0.0175294386
65,0.0175051984
66,0.0174827678
67,0.0174620645
68,0.0174483087
69,0.0174359771
70,0.0174250082
71,0.0174153432
72,0.0174069271
73,0.0173997078
74,0.0173936358
75,0.0173886648
76,0.0173847502
77,0.0173818502
78,0.0173799251
79,0.0173789369
80,0.01737885
81,0.0173796302
82,0.0173812449
83,0.0173836636
84,0.0173868565
85,0.017390796
86,0.0173954549
87,0.0174008081
88,0.0174068311
89,0.0174135006
90,0.0174207947
91,0.0174286918
92,0.0174371719
93,0.0174378566
94,0.0174392671
95,0.0174413798
96,0.0174441722
97,0.0174455033
98,0.0174361742
99,0.0174275108
100,0.0174194924
101,0.0174120997
102,0.017405314
103,0.0173991169
104,0.0173934913
105,0.0173884205
106,0.0173838883
107,0.0173798792
108,0.0173763784
109,0.0173733716
110,0.0173708447
111,0.0173687847
112,0.0173671786
113,0.0173660139
114,0.0173652788
115,0.0173649617
116,0.0173650514
117,0.0173655372
118,0.0173664086
119,0.0173676556
120,0.0173692686
121,0.017371238
122,0.0173735548
123,0.0173762103
124,0.017379196
125,0.0173825033
126,0.0173861248
127,0.0173900523
128,0.0173949537
129,0.0174001362
130,0.0174055928
131,0.0174113171
132,0.0174173027
133,0.0174235433
134,0.017430033
135,0.0174367659
136,0.0174437365
137,0.0174509392
138,0.0174583687
139,0.0174660198
140,0.0174738875
141,0.017481967
142,0.0174902534
143,0.0174987422
144,0.0175074289
145,0.0175163091
146,0.0175253786
147,0.0175346332
148,0.0175440691
149,0.0175536822
150,0.0175634686
151,0.0175734249
152,0.0175835474
153,0.0175938324
154,0.0176042768
155,0.017614877
156,0.0176256298
157,0.0176365323
158,0.0176475811
159,0.0176476342
160,0.0176479668
161,0.0176485735
162,0.0176494491
163,0.0176505883
164,0.0176519859
165,0.0176536372
166,0.0176555374
167,0.0176576816
168,0.0176600653
169,0.0176626842
170,0.0176655336
171,0.0176686094
172,0.0176719076
173,0.0176754239
174,0.0176791543
175,0.0176830951
176,0.0176872423
177,0.0176915924
178,0.0176961416
179,0.0177008863
180,0.0177058232
181,0.017710949
182,0.01771626
183,0.0177217533
184,0.0177274257
185,0.0177332738
186,0.0177392949
187,0.0177454859
188,0.0177337747
189,0.0177292486
190,0.0177233814
191,0.0177177947
192,0.017712484
193,0.0177074451
194,0.0177026731
195,0.0176981641
196,0.0176939137
197,0.0176899178
198,0.0176861726
199,0.0176826737
200,0.0176794176
201,0.0176764003
202,0.0176736183
203,0.0176710676
204,0.0176687449
205,0.0176666466
206,0.0176647693
207,0.0176631096
208,0.017661664
209,0.0176604296
210,0.017659403
211,0.0176585811
212,0.0176579608
213,0.0176575391
214,0.0176573133
215,0.0176572802
216,0.017657437
217,0.0176577811
218,0.0176583096
219,0.0176590199
220,0.0176599092
221,0.0176609749
222,0.0176622148
223,0.0176628503
224,0.0176636617
225,0.0176646466
226,0.0176658024
227,0.0176671268
228,0.0176686174
229,0.0176702718
230,0.0176720878
231,0.0176740632
232,0.0176761956
233,0.017678483
234,0.0176809232
235,0.017683514
236,0.0176862536
237,0.0176891397
238,0.0176921705
239,0.0176953439
240,0.0176986581
241,0.0177021109
242,0.0177057008
243,0.0177094259
244,0.0177132844
245,0.0177172744
246,0.0177213942
247,0.017725642
248,0.0177300163
249,0.0177345154
250,0.0177386451
251,0.0177429003
252,0.0177472794
253,0.0177517806
254,0.0177564023
255,0.0177611432
256,0.0177660015
257,0.017770976
258,0.0177760649
259,0.017781267
260,0.0177865807
261,0.0177920046
262,0.0177975373
263,0.0178031776
264,0.017808924
265,0.0178147751
266,0.0178207298
267,0.0178267866
268,0.0178329444
269,0.0178392018
270,0.0178455576
271,0.0178520108
272,0.0178585599
273,0.0178652039
274,0.0178719417
275,0.017878772
276,0.0178856936
277,0.0178927056
278,0.0178995672
279,0.017906254
280,0.0178995862
281,0.0178930157
282,0.0178865411
283,0.0178801615
284,0.0178738759
285,0.0178676831
286,0.0178615821
287,0.0178555721
288,0.0178496519
289,0.0178438207
290,0.0178380772
291,0.0178324209
292,0.0178268505
293,0.0178213653
294,0.0178159643
295,0.0178106466
296,0.0178054114
297,0.0178002577
298,0.0177951847
299,0.0177901914
300,0.0177852773
301,0.0177804414
302,0.0177756826
303,0.0177710006
304,0.0177663943
305,0.0177618628
306,0.0177574058
307,0.017753022
308,0.017748711
309,0.0177444696
310,0.0177402996
311,0.0177362001
312,0.0177321702
313,0.0177282095
314,0.0177243171
315,0.0177204924
316,0.0177167347
317,0.0177130432
318,0.0177094174
319,0.0177058567
320,0.0177023603
321,0.0176989275
322,0.0176955579
323,0.0176922507
324,0.0176890053
325,0.0176858212
326,0.0176826978
327,0.0176796344
328,0.0176766304
329,0.0176736853
330,0.0176707985
331,0.0176679694
332,0.0176651975
333,0.0176624824
334,0.0176598231
335,0.0176572195
336,0.0176546709
337,0.0176521768
338,0.0176497367
339,0.01764735
340,0.0176450163
341,0.0176529776
342,0.0176609389
343,0.0176689003
344,0.0176768616
345,0.0176848229
346,0.0176927843
347,0.0177007456
348,0.0177087069
349,0.0177166683
350,0.0177246296
351,0.0177325909
352,0.0177405523
353,0.0177485136
354,0.0177564749
355,0.0177644363
356,0.0177723976
357,0.0177803589
358,0.0177883203
359,0.0177962816
360,0.0178042429
361,0.0178122043
362,0.0178201656
363,0.0178281269
364,0.0178360883
365,0.0178440496
366,0.0178520109
367,0.0178599723
368,0.0178679336
369,0.0178758949
370,0.0178794518
371,0.0178830088
372,0.0178865657
373,0.0178901226
374,0.0178936795
375,0.0178972365
376,0.0179007934
377,0.0179043503
378,0.0179079073
379,0.0179114642
380,0.0179150211
381,0.017918578
382,0.017922135
383,0.0179256919
384,0.0179292488
385,0.0179328057
386,0.0179363627
387,0.0179399196
388,0.0179434765
389,0.0179470334
390,0.0179505904
391,0.0179541473
392,0.0179577042
393,0.0179612611
394,0.0179648181
395,0.017968375
396,0.0179719319
397,0.0179754888
398,0.0179790458
399,0.0179826027
400,0.0179861596
401,0.0179897165
402,0.0179932735
403,0.0179968304
404,0.0180003873
405,0.0180039442
406,0.0180075012
407,0.0180110581
408,0.018014615
409,0.0180181719
410,0.0180217289
411,0.0180252858
412,0.0180288427
413,0.0180323996
414,0.0180359566
415,0.0180395135
416,0.0180430704
417,0.0180466273
418,0.0180501843
419,0.0180537412
420,0.0180572981
421,0.018060855
422,0.018064412
423,0.0180679689
424,0.0180715258
425,0.0180750827
426,0.0180786397
