plazo_dias,valor
1,-4.25e-06
2,-2.833333e-06
3,-1.4166659999999998e-06
4,0.0
5,-1.5e-07
6,-1.041666e-06
7,-1.933333e-06
8,-2.825e-06
9,-3.716666e-06
10,-4.608333e-06
11,-5.5e-06
12,-7.285714e-06
13,-9.071428e-06
14,-1.0857142e-05
15,-1.2642857e-05
16,-1.4428571000000002e-05
17,-1.6214285e-05
18,-1.8e-05
19,-1.9071428e-05
20,-2.0142857e-05
21,-2.1214285e-05
22,-2.2285714e-05
23,-2.3357142e-05
24,-2.4428571e-05
25,-2.55e-05
26,-2.625e-05
27,-2.7000000000000002e-05
28,-2.7750000000000004e-05
29,-2.8499999999999998e-05
30,-2.925e-05
31,-2.9999999999999997e-05
32,-3.075e-05
33,-3.15e-05
34,-3.225e-05
35,-3.3e-05
36,-3.36875e-05
37,-3.4375e-05
38,-3.5062500000000005e-05
39,-3.575e-05
40,-3.64375e-05
41,-3.7125e-05
42,-3.78125e-05
43,-3.85e-05
44,-3.91875e-05
45,-3.9875e-05
46,-4.0562500000000003e-05
47,-4.125e-05
48,-4.19375e-05
49,-4.2625e-05
50,-4.3312499999999996e-05
51,-4.4e-05
52,-4.46875e-05
53,-4.5375e-05
54,-4.60625e-05
55,-4.6750000000000005e-05
56,-4.74375e-05
57,-4.8125000000000004e-05
58,-4.88125e-05
59,-4.95e-05
60,-5.0187499999999993e-05
61,-5.0875e-05
62,-5.15625e-05
63,-5.2249999999999996e-05
64,-5.2937500000000006e-05
65,-5.3625e-05
66,-5.43125e-05
67,-5.5e-05
68,-5.5120689e-05
69,-5.5241379e-05
70,-5.5362067999999995e-05
71,-5.5482758e-05
72,-5.5603448e-05
73,-5.5724137e-05
74,-5.5844827e-05
75,-5.5965517e-05
76,-5.608620600000001e-05
77,-5.6206895999999994e-05
78,-5.6327585999999994e-05
79,-5.6448275000000005e-05
80,-5.6568965000000004e-05
81,-5.6689655000000004e-05
82,-5.6810344e-05
83,-5.6931034e-05
84,-5.7051724e-05
85,-5.7172413e-05
86,-5.7293103000000004e-05
87,-5.7413793e-05
88,-5.7534482e-05
89,-5.7655172e-05
90,-5.7775862e-05
91,-5.7896550999999997e-05
92,-5.8017240999999996e-05
93,-5.8137930999999996e-05
94,-5.8258620000000006e-05
95,-5.837930999999999e-05
96,-5.85e-05
97,-5.8346774000000004e-05
98,-5.8193547999999996e-05
99,-5.8040322e-05
100,-5.7887096000000006e-05
101,-5.773387e-05
102,-5.7580645e-05
103,-5.7427419000000004e-05
104,-5.7274192999999995e-05
105,-5.7120967e-05
106,-5.6967741000000006e-05
107,-5.681451600000001e-05
108,-5.666129e-05
109,-5.6508064000000004e-05
110,-5.6354837999999995e-05
111,-5.6201612e-05
112,-5.6048387e-05
113,-5.5895161000000007e-05
114,-5.5741935e-05
115,-5.5588709e-05
116,-5.5435482999999995e-05
117,-5.5282257999999996e-05
118,-5.5129032e-05
119,-5.4975806000000006e-05
120,-5.482258e-05
121,-5.4669354e-05
122,-5.4516129000000004e-05
123,-5.4362902999999996e-05
124,-5.4209677e-05
125,-5.4056451000000006e-05
126,-5.3903225e-05
127,-5.375e-05
128,-5.4970967e-05
129,-5.6191935e-05
130,-5.7412903e-05
131,-5.863387e-05
132,-5.9854838e-05
133,-6.1075806e-05
134,-6.2296774e-05
135,-6.3517741e-05
136,-6.4738709e-05
137,-6.5959677e-05
138,-6.7180645e-05
139,-6.8401612e-05
140,-6.962258e-05
141,-7.0843548e-05
142,-7.2064516e-05
143,-7.3285483e-05
144,-7.4506451e-05
145,-7.5727419e-05
146,-7.6948387e-05
147,-7.8169354e-05
148,-7.9390322e-05
149,-8.061129e-05
150,-8.1832258e-05
151,-8.3053225e-05
152,-8.4274193e-05
153,-8.5495161e-05
154,-8.6716129e-05
155,-8.7937096e-05
156,-8.9158064e-05
157,-9.0379032e-05
158,-9.16e-05
159,-9.2213333e-05
160,-9.2826666e-05
161,-9.344e-05
162,-9.4053333e-05
163,-9.4666666e-05
164,-9.528e-05
165,-9.589333300000001e-05
166,-9.6506666e-05
167,-9.711999999999999e-05
168,-9.7733333e-05
169,-9.8346666e-05
170,-9.896e-05
171,-9.9573333e-05
172,-0.00010018666599999999
173,-0.0001008
174,-0.000101413333
175,-0.00010202666600000001
176,-0.00010263999999999999
177,-0.00010325333299999999
178,-0.000103866666
179,-0.00010447999999999999
180,-0.00010509333300000002
181,-0.000105706666
182,-0.00010632
183,-0.00010693333300000001
184,-0.000107546666
185,-0.00010816
186,-0.00010877333300000001
187,-0.000109386666
188,-0.00011
189,-0.000110529411
190,-0.00011105882300000001
191,-0.00011158823499999999
192,-0.000112117647
193,-0.000112647058
194,-0.00011317647
195,-0.00011370588200000001
196,-0.00011423529400000001
197,-0.000114764705
198,-0.000115294117
199,-0.00011582352899999999
200,-0.000116352941
201,-0.00011688235199999999
202,-0.000117411764
203,-0.000117941176
204,-0.000118470588
205,-0.00011899999999999999
206,-0.00011952941100000001
207,-0.00012005882299999999
208,-0.000120588235
209,-0.000121117647
210,-0.000121647058
211,-0.00012217647
212,-0.000122705882
213,-0.00012323529399999999
214,-0.000123764705
215,-0.000124294117
216,-0.000124823529
217,-0.000125352941
218,-0.000125882352
219,-0.000126411764
220,-0.000126941176
221,-0.000127470588
222,-0.000128
223,-0.000128962962
224,-0.000129925925
225,-0.00013088888800000001
226,-0.000131851851
227,-0.00013281481399999998
228,-0.000133777777
229,-0.00013474074
230,-0.00013570370300000002
231,-0.000136666666
232,-0.000137629629
233,-0.000138592592
234,-0.000139555555
235,-0.000140518518
236,-0.000141481481
237,-0.000142444444
238,-0.00014340740700000002
239,-0.00014437037
240,-0.000145333333
241,-0.000146296296
242,-0.000147259259
243,-0.000148222222
244,-0.000149185185
245,-0.000150148148
246,-0.00015111111100000001
247,-0.00015207407399999998
248,-0.000153037037
249,-0.000154
250,-0.000155017241
251,-0.00015603448200000002
252,-0.000157051724
253,-0.000158068965
254,-0.000159086206
255,-0.000160103448
256,-0.00016112068900000001
257,-0.000162137931
258,-0.000163155172
259,-0.000164172413
260,-0.000165189655
261,-0.000166206896
262,-0.00016722413700000002
263,-0.000168241379
264,-0.00016925862
265,-0.000170275862
266,-0.000171293103
267,-0.00017231034400000002
268,-0.000173327586
269,-0.000174344827
270,-0.000175362068
271,-0.00017637931
272,-0.00017739655100000001
